
sn,antenna,azimuth,channel,drone_x,drone_y,drone_z,elevation,mac,peer_mac,peer_mac_1,peer_mac_2,rssi,time
,0,0,27,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:49.2621785Z
,0,0,0,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:49.3099684Z
,0,0,36,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:49.3616833Z
,0,0,11,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:49.4105142Z
,0,0,27,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:49.4648007Z
,0,0,18,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:49.5051804Z
,0,0,35,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:49.5572897Z
,0,0,13,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:49.6072568Z
,0,0,33,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:49.6600644Z
,0,0,20,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:49.7102457Z
,0,0,15,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:49.7534609Z
,0,1,19,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:49.8099143Z
,0,0,15,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:49.8534226Z
,0,0,6,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:49.9047822Z
,0,0,26,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:49.9869288Z
,0,0,1,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.060483Z
,0,1,25,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.1101675Z
,0,0,14,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:50.1609199Z
,0,0,26,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:50.2926738Z
,0,0,2,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.325115Z
,0,0,36,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.3606872Z
,0,0,14,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:50.4120896Z
,0,0,1,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.4651718Z
,0,0,8,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-81,2025-06-28T11:05:50.5110839Z
,0,0,30,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:50.5597326Z
,0,0,7,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:50.6131755Z
,0,0,36,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.6604047Z
,0,0,30,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:50.7139265Z
,0,0,35,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:50.7601158Z
,0,0,20,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:50.8108398Z
,0,0,24,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:50.859366Z
,0,0,17,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:50.9617297Z
,0,0,32,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:51.0108891Z
,0,0,8,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:51.0619329Z
,0,0,10,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-83,2025-06-28T11:05:51.1079096Z
,0,0,11,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:51.1637624Z
,0,0,31,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:51.2123702Z
,0,0,20,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:51.2614378Z
,0,0,4,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:51.3061171Z
,0,1,16,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:51.3546953Z
,0,1,8,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:51.4093066Z
,0,1,21,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:51.4624606Z
,0,1,19,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:51.5131673Z
,0,1,10,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:51.5644258Z
,0,1,16,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:51.6145414Z
,0,1,13,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:51.6579957Z
,0,1,21,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:51.708856Z
,0,1,15,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:51.7610285Z
,0,1,33,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:51.8106932Z
,0,0,28,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:51.8606581Z
,0,0,11,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-81,2025-06-28T11:05:51.9273914Z
,0,0,8,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:51.9636396Z
,0,0,29,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:52.0123789Z
,0,0,20,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:52.0567138Z
,0,0,34,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:52.1110731Z
,0,1,23,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:52.1601843Z
,0,0,26,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:52.2602981Z
,0,0,16,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:52.3125474Z
,0,0,2,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:52.3573813Z
,0,0,16,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:52.413588Z
,0,0,27,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:52.4651483Z
,0,0,17,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:52.5117791Z
,0,1,18,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:52.6057662Z
,0,1,19,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:52.6118568Z
,0,1,6,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:52.6631941Z
,0,0,28,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:52.7045797Z
,0,0,36,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:52.7667199Z
,0,1,21,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:52.8157176Z
,0,1,33,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:52.8643295Z
,0,1,5,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:52.9584951Z
,0,1,32,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:53.0117086Z
,0,0,36,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:53.0588073Z
,0,1,12,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:53.1096574Z
,0,1,24,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:53.1604476Z
,0,1,5,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:53.2104948Z
,0,1,3,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:53.2601631Z
,0,1,20,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:53.3103796Z
,0,1,33,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:53.4119407Z
,0,1,2,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:53.4649599Z
,0,1,33,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:53.6557733Z
,0,1,31,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:53.8108817Z
,0,0,14,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:53.9087639Z
,0,0,28,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:53.9634764Z
,0,0,4,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:54.0796036Z
,0,1,7,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:54.1107424Z
,0,1,15,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:54.1609262Z
,0,1,19,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:54.2101937Z
,0,0,30,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:54.2604838Z
,0,1,15,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:54.3087861Z
,0,0,11,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:54.3575337Z
,0,1,1,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:54.4110645Z
,0,0,12,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:54.466093Z
,0,1,16,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:54.5104711Z
,0,1,5,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:54.5618581Z
,0,0,3,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:54.6143834Z
,0,0,5,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:54.8087968Z
,0,0,8,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-81,2025-06-28T11:05:54.8597309Z
,0,0,4,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:54.9159403Z
,0,0,30,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:54.9621293Z
,0,1,9,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:55.0095628Z
,0,0,31,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:55.0605362Z
,0,0,33,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:55.1137041Z
,0,0,31,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:55.2116149Z
,0,0,2,0,-4.2,-0.72,-8,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:55.2554044Z
,0,0,17,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:55.3114731Z
,0,1,2,0,-4.2,-0.72,-8,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:55.3609658Z
,0,1,21,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:55.4686229Z
,0,1,2,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:55.5117978Z
,0,1,35,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:55.5550119Z
,0,1,22,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:55.6101398Z
,0,1,33,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:55.6780854Z
,0,1,13,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:55.7139837Z
,0,1,31,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:55.7625017Z
,0,1,12,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:55.8142642Z
,0,0,12,0,-4.2,-0.72,-7,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:55.8609896Z
,0,1,19,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:55.9118359Z
,0,1,3,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:56.0113425Z
,0,1,29,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:56.0589657Z
,0,0,13,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:56.1139387Z
,0,0,13,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:56.2123069Z
,0,0,29,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:56.2614024Z
,0,0,27,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:56.3653928Z
,0,1,23,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:56.4129685Z
,0,0,30,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:56.467006Z
,0,0,25,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:56.5101588Z
,0,0,31,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:56.5613175Z
,0,0,13,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:56.6112151Z
,0,0,9,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:56.6626492Z
,0,0,22,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:56.7105126Z
,0,0,30,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:56.7636558Z
,0,0,34,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:56.8097936Z
,0,0,11,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:56.8581261Z
,0,0,21,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:56.9078882Z
,0,0,18,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:56.9619087Z
,0,0,34,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:57.0422859Z
,0,0,9,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-82,2025-06-28T11:05:57.0612782Z
,0,0,29,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:57.1125194Z
,0,0,18,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:57.1634474Z
,0,0,33,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:57.2117203Z
,0,0,13,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:57.3600732Z
,0,0,9,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-83,2025-06-28T11:05:57.407942Z
,0,0,23,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:57.4658969Z
,0,0,28,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:57.5171249Z
,0,0,14,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:57.5585744Z
,0,0,29,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:57.6087453Z
,0,0,29,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:57.6611683Z
,0,0,24,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:57.7100779Z
,0,0,8,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-83,2025-06-28T11:05:57.7735294Z
,0,0,33,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:57.8105934Z
,0,0,11,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-81,2025-06-28T11:05:57.9109485Z
,0,0,19,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:57.958938Z
,0,0,12,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-79,2025-06-28T11:05:58.0102661Z
,0,0,19,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:58.058872Z
,0,0,1,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:58.1111306Z
,0,0,27,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-74,2025-06-28T11:05:58.1642563Z
,0,0,16,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:58.212466Z
,0,1,4,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-77,2025-06-28T11:05:58.2605989Z
,0,0,31,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-73,2025-06-28T11:05:58.3111822Z
,0,1,22,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:58.3943675Z
,0,0,12,0,-4.2,-0.72,-4,20BA3608EF66,20BA36977463,,,-80,2025-06-28T11:05:58.4116558Z
,0,1,4,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:58.4685722Z
,0,1,2,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-75,2025-06-28T11:05:58.5148435Z
,0,1,6,0,-4.2,-0.72,-5,20BA3608EF66,20BA36977463,,,-78,2025-06-28T11:05:58.5680535Z
,0,1,4,0,-4.2,-0.72,-6,20BA3608EF66,20BA36977463,,,-76,2025-06-28T11:05:58.6118977Z
