Drone_X,Drone_Y,Drone_Z,Anchor1_Azimuth,Anchor1_Elevation,Anchor1_RSSI,Anchor2_Azimuth,Anchor2_Elevation,Anchor2_RSSI,Intersection_X,Intersection_Y,Intersection_Z
0.0,-0.6,-0.72,0.0,-51.0,-58,68.0,2.0,-84,0.153542321391694,-0.7346519976141408,0.18471841586479798
0.0,-0.6,-0.72,0.0,-51.0,-58,68.0,1.0,-83,0.14396772498006793,-0.7523690135391378,0.22700351708350636
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,0.0,-81,0.1472106475967807,-0.8016434710480107,0.2808384087533356
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,0.0,-88,0.1472106475967807,-0.8016434710480107,0.2808384087533356
0.0,-0.6,-0.72,0.0,-51.0,-58,68.0,-1.0,-84,0.1254780187453055,-0.787938818585747,0.31310860846093724
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,-2.0,-82,0.11657491469175141,-0.8057877915171969,0.3569359191733767
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-2.0,-84,0.12843204126447771,-0.8382191561175174,0.3681947400306699
0.0,-0.6,-0.72,0.0,-51.0,-58,67.0,-2.0,-88,0.12843204126447771,-0.8382191561175174,0.3681947400306699
0.0,-0.6,-0.72,0.0,-51.0,-59,68.0,-2.0,-90,0.11657491469175141,-0.8057877915171969,0.3569359191733767
0.0,-0.6,-0.72,0.0,-51.0,-58,67.0,-3.0000000000000004,-82,0.11937569159766914,-0.8565812698602309,0.41269443503511266
0.0,-0.6,-0.72,0.0,-51.0,-58,66.0,-3.0000000000000004,-86,0.13143832101300723,-0.8890393221589348,0.4239318958030181
0.0,-0.6,-0.72,0.0,-51.0,-55,66.0,0.0,-84,0.16038094897542576,-0.8326521485714176,0.29170162658985604
0.0,-0.6,-0.72,0.0,-51.0,-58,66.0,-1.0,-81,0.15052676699175271,-0.8513875355415391,0.3352042727181067
0.0,-0.6,-0.72,0.0,-51.0,-59,65.0,-1.0,-83,0.16392106560471853,-0.8823537611533596,0.34597804007763594
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,2.0,-85,0.18067752726370356,-0.7953717499661407,0.20639164781834307
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,0.0,-83,0.16038094897542576,-0.8326521485714176,0.29170162658985604
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,3.0000000000000004,-87,0.17694844722152303,-0.7471811762866176,0.1538448508691418
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,6.000000000000001,-81,0.20844564502149088,-0.6932322591079598,0.031588973488644645
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,5.0,-83,0.21251340406440322,-0.7399457824807961,0.0825814716386039
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,7.0,-83,0.21931626404377225,-0.6753671235152218,-0.008131577122093087
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,5.0,-82,0.18352338087453623,-0.6817896296009535,0.06088713413862708
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,5.0,-82,0.16981057352002615,-0.651870698543022,0.04978401243429309
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,2.0,-81,0.14080293392903842,-0.7035166436601381,0.17362592822763004
0.0,-0.6,-0.72,0.0,-51.0,-58,70.0,4.0,-83,0.14705750416301688,-0.6382158610352586,0.07935094170670173
0.0,-0.6,-0.72,0.0,-51.0,-57,71.0,2.0,-83,0.11698286924436418,-0.6398302277163689,0.15097406202489969
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,3.0000000000000004,-84,0.15025343009106762,-0.6862601975883426,0.13186706411993943
0.0,-0.6,-0.72,0.0,-51.0,-58,69.0,2.0,-83,0.14080293392903842,-0.7035166436601381,0.17362592822763004
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,1.0,-82,0.14396772498006793,-0.7523690135391378,0.22700351708350636
0.0,-0.6,-0.72,0.0,-51.0,-58,69.0,1.0,-87,0.13157731527136485,-0.7208125106385516,0.21586707980572986
0.0,-0.6,-0.72,0.0,-51.0,-57,70.0,3.0000000000000004,-85,0.1377209422732264,-0.6550413793946324,0.12063495093571618
0.0,-0.6,-0.72,0.0,-51.0,-57,71.0,0.0,-81,0.1002316894741877,-0.672863800184959,0.23572324328248537
0.0,-0.6,-0.72,0.0,-51.0,-57,70.0,-1.0,-82,0.10274333676824088,-0.7226656268056832,0.2903530841185209
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,-2.0,-83,0.11657491469175141,-0.8057877915171969,0.3569359191733767
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,2.0,-80,0.14080293392903842,-0.7035166436601381,0.17362592822763004
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,0.0,-82,0.12258176371985385,-0.7381462320222548,0.2585935278152914
0.0,-0.6,-0.72,0.0,-51.0,-58,69.0,0.0,-88,0.12258176371985385,-0.7381462320222548,0.2585935278152914
0.0,-0.6,-0.72,0.0,-51.0,-55,68.0,0.0,-85,0.13461104269854962,-0.7701318723231696,0.26979900337828944
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-1.0,-82,0.13771264983784315,-0.8199057788323976,0.32424415569649434
0.0,-0.6,-0.72,0.0,-51.0,-58,66.0,-2.0,-83,0.14087692381383587,-0.8701840054110943,0.3792792849577294
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,3.0000000000000004,-81,0.17694844722152303,-0.7471811762866176,0.1538448508691418
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,2.0,-85,0.18067752726370356,-0.7953717499661407,0.20639164781834307
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,0.0,-85,0.16038094897542576,-0.8326521485714176,0.29170162658985604
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,-2.0,-81,0.14087692381383587,-0.8701840054110943,0.3792792849577294
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-2.0,-87,0.12843204126447771,-0.8382191561175174,0.3681947400306699
0.0,-0.6,-0.72,0.0,-51.0,-58,68.0,-1.0,-82,0.1254780187453055,-0.787938818585747,0.31310860846093724
0.0,-0.6,-0.72,0.0,-51.0,-55,67.0,-2.0,-85,0.12843204126447771,-0.8382191561175174,0.3681947400306699
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,2.0,-80,0.153542321391694,-0.7346519976141408,0.18471841586479798
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,2.0,-86,0.153542321391694,-0.7346519976141408,0.18471841586479798
0.0,-0.6,-0.72,0.0,-51.0,-58,67.0,2.0,-87,0.16683408297742086,-0.7652796550325928,0.19564339938082817
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,0.0,-82,0.1472106475967807,-0.8016434710480107,0.2808384087533356
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,0.0,-88,0.1472106475967807,-0.8016434710480107,0.2808384087533356
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,1.0,-86,0.15691972083234962,-0.7834342104594394,0.2379730256732817
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,-1.0,-86,0.1254780187453055,-0.787938818585747,0.31310860846093724
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,2.0,-84,0.153542321391694,-0.7346519976141408,0.18471841586479798
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,0.0,-84,0.12258176371985385,-0.7381462320222548,0.2585935278152914
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-1.0,-82,0.13771264983784315,-0.8199057788323976,0.32424415569649434
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,0.0,-88,0.1472106475967807,-0.8016434710480107,0.2808384087533356
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,-1.0,-84,0.1254780187453055,-0.787938818585747,0.31310860846093724
0.0,-0.6,-0.72,0.0,-51.0,-58,68.0,-2.0,-88,0.11657491469175141,-0.8057877915171969,0.3569359191733767
0.0,-0.6,-0.72,0.0,-51.0,-57,69.0,-4.0,-82,0.08902144058213435,-0.8078185638867368,0.43440777462082814
