drone_x,drone_y,drone_z,peer_mac,avg_real_azimuth,avg_experimental_azimuth,avg_real_elevation,avg_experimental_elevation,mean_azimuth_error,mean_elevation_error
0.6,-5.4,-0.72,20BA369AFC6B,23.96248897457815,8.166666666666666,-6.946765292343983,-6.558712121212121,15.795822307911484,2.631891697901273
0.6,-4.8,-0.72,20BA36977463,-7.125016348901795,-4.363636363636363,-8.465848238967707,-5.264270613107822,2.7613799852654313,3.217387614558515
0.6,-4.8,-0.72,20BA369AFC6B,26.565051177078004,13.33420365535248,-7.641405059952685,-5.561357702349869,13.230847521725524,2.9141374543396825
0.6,-4.2,-0.72,20BA36977463,-8.130102354155952,-12.631481481481481,-9.6316519614038,1.1814814814814816,4.756216687508334,10.813133442885283
0.6,-4.2,-0.72,20BA369AFC6B,29.744881296942225,33.7639751552795,-8.465848238967707,-7.428571428571429,4.019093858337278,3.447694378554462
0.6,-3.6,-0.72,20BA36977463,-9.462322208025626,-4.9911032028469755,-11.159936872185444,-10.256227758007118,4.47121900517865,1.2261492618769387
0.6,-3.6,-0.72,20BA369AFC6B,33.69006752597977,37.08461538461538,-9.448016435202305,-5.369230769230769,4.087757567253477,4.093646761946859
0.6,-3.0,-0.72,20BA36977463,-11.30993247402023,-7.8896925858951175,-13.242976219823511,-14.576853526220615,3.4202398881251113,1.3841696563839105
0.6,-3.0,-0.72,20BA369AFC6B,38.65980825409008,30.97792869269949,-10.614591467407536,1.9881154499151104,8.345485945065716,12.602706917322646
0.6,-2.4,-0.72,20BA36977463,-14.03624346792651,-10.33385579937304,-16.22725402323351,-15.536050156739812,3.7023876685534702,0.6936262676747839
0.6,-2.4,-0.72,20BA369AFC6B,45.0,50.72293577981652,-11.976725812374069,-14.693577981651377,5.891743119266055,2.7563650431258973
0.6,-1.8,-0.72,20BA36977463,-18.434948822922024,-15.070888468809073,-20.780417487663584,-19.099243856332702,3.3640603541129503,1.681173631330881
0.6,-1.8,-0.72,20BA369AFC6B,53.13010235415598,46.93986420950534,-13.495733280795811,-12.50533462657614,6.193613111268857,1.2345370515830814
0.6,-1.2,-0.72,20BA36977463,-26.565051177077976,-22.394736842105264,-28.220512053403727,-27.966666666666665,4.170314334972713,0.25384538673706036
0.6,-1.2,-0.72,20BA369AFC6B,63.434948822922,69.42146596858639,-15.020256666513818,-21.94764397905759,5.9865171456643775,6.9273873125437735
